ID,Pagina,Sezione,Tipo,Contenuto placeholder attuale,Vincoli/Note,Contenuto cliente
TD6,Studio,D - Team,Bio membro 1,"Cresce tra trattorie e spreadsheet. Prima il cibo, poi i dati — poi ha capito che si parlano la stessa lingua.","bio breve, max ~120 caratteri",
TD7,Studio,D - Team,Immagine membro 2,ritratto · creative director (placeholder),"file TD7.jpg",
TD8,Studio,D - Team,Nome membro 2,Nome Cognome,"max ~40 caratteri",
TD9,Studio,D - Team,Ruolo membro 2,Creative Director,"max ~30 caratteri",
TD10,Studio,D - Team,Bio membro 2,"Vent'anni a fare brand per chi produce cose buone. Dice che il design è come una ricetta — sbaglia chi usa troppi ingredienti.","max ~130 caratteri",
TD11,Studio,D - Team,Immagine membro 3,ritratto · head of content (placeholder),"file TD11.jpg",
TD12,Studio,D - Team,Nome membro 3,Nome Cognome,"max ~40 caratteri",
TD13,Studio,D - Team,Ruolo membro 3,Head of Content,"max ~30 caratteri",
TD14,Studio,D - Team,Bio membro 3,"Copy di giorno, golosa di notte. Scrive come si parla — e parla come si legge. Ha un talent nell'individuare il tono esatto di ogni brand.","max ~140 caratteri",
TD15,Studio,D - Team,Immagine membro 4,ritratto · video director (placeholder),"file TD15.jpg",
TD16,Studio,D - Team,Nome membro 4,Nome Cognome,"max ~40 caratteri",
TD17,Studio,D - Team,Ruolo membro 4,Video Director,"max ~30 caratteri",
TD18,Studio,D - Team,Bio membro 4,"Occhio da cinematographer, testa da content creator. Sa quando serve un reel da 5M views e quando basta uno scatto spontaneo dietro al bancone.","max ~145 caratteri",
TE1,Studio,E - Valori,Titolo,Tre principi. Nessuna scusa.,"kinetic (lines)",
TE2,Studio,E - Valori,Paragrafo,"Non sono valori appesi al muro. Sono il modo in cui prendiamo le decisioni ogni giorno.","maxWidth 32ch",
TE3,Studio,E - Valori,Titolo valore 1,Gusto prima di tutto,"h3 titolo valore, max ~30 caratteri",
TE4,Studio,E - Valori,Descrizione valore 1,"Ogni scelta estetica è una scelta strategica. Un'immagine brutta vende meno, un copy piatto non convince, un sito lento perde clienti. La qualità non è un lusso — è la baseline da cui partiamo.","max ~200 caratteri",
TE5,Studio,E - Valori,Titolo valore 2,Dati senza fuffa,"max ~30 caratteri",
TE6,Studio,E - Valori,Descrizione valore 2,"Crediamo nei numeri e nel buon senso. Misuriamo tutto quello che conta, ignoriamo le metriche di vanità e riportiamo solo quello che serve per decidere bene. Report onesti, anche quando fanno un po' male.","max ~200 caratteri",
TE7,Studio,E - Valori,Titolo valore 3,Mani in pasta,"max ~30 caratteri",
TE8,Studio,E - Valori,Descrizione valore 3,"Siamo un team operativo, non consulenti. Scriviamo i copy, giriamo i video, costruiamo i siti. Chi presenta il lavoro è chi lo fa. Zero passaggi di consegne, massimo controllo su quello che esce.","max ~200 caratteri",
TF1,Studio,F - Processo,Titolo,Prima si prepara il terreno. Poi si esegue.,"kinetic (words), maxWidth 18ch",
TF2,Studio,F - Processo,Titolo step 1,Ascolto,"h3 step, max ~20 caratteri",
TF3,Studio,F - Processo,Titolo step 2,Diagnosi,"max ~20 caratteri",
TF4,Studio,F - Processo,Titolo step 3,Strategia,"max ~20 caratteri",
TF5,Studio,F - Processo,Titolo step 4,Esecuzione,"max ~20 caratteri",
TG1,Studio,G - Testimonianza,Citazione,"Avevamo un buon prodotto, ma sui social eravamo invisibili. In quattro mesi siamo diventati il brand di riferimento nella nostra categoria.","testo della citazione — max ~200 caratteri",
TG2,Studio,G - Testimonianza,Nome cliente,Nome Cliente,"nome reale del cliente, max ~40 caratteri",
TG3,Studio,G - Testimonianza,Ruolo e azienda,Marketing Director · Brand · Milano,"ruolo · azienda · città, max ~50 caratteri",
TH1,Studio,H - Loghi clienti,Immagine logo 1,logo cliente (placeholder),"logo monocromatico SVG; file TH1.svg",
TH2,Studio,H - Loghi clienti,Immagine logo 2,logo cliente (placeholder),"file TH2.svg",
TH3,Studio,H - Loghi clienti,Immagine logo 3,logo cliente (placeholder),"file TH3.svg",
TH4,Studio,H - Loghi clienti,Immagine logo 4,logo cliente (placeholder),"file TH4.svg",
TH5,Studio,H - Loghi clienti,Immagine logo 5,logo cliente (placeholder),"file TH5.svg",
TH6,Studio,H - Loghi clienti,Immagine logo 6,logo cliente (placeholder),"file TH6.svg",
TI1,Studio,I - Lavora con noi,Titolo,Cerchi un posto dove contare?,"kinetic (lines)",
TI2,Studio,I - Lavora con noi,Paragrafo,"Non assumiamo ruoli, assumiamo persone. Mandaci portfolio, profilo LinkedIn o due righe su cosa sai fare — anche se non c'è una posizione aperta in questo momento.","maxWidth 44ch",
TI3,Studio,I - Lavora con noi,Lista ruoli,Designer · Strategist · Videomaker · Copywriter,"lista ruoli cercati, max ~60 caratteri",
TI4,Studio,I - Lavora con noi,Bottone-CTA,Manda la candidatura ↗,,
TJ1,Studio,J - CTA,Titolo,30 minuti. Gratis.,"mega kinetic",
TJ2,Studio,J - CTA,Paragrafo,"Ti ascoltiamo, analizziamo la situazione attuale e ti diciamo se — e come — possiamo aiutarti. Nessun obbligo, nessuna vendita: solo una valutazione onesta.","maxWidth 44ch",
TJ3,Studio,J - CTA,Punto checklist 1,✓ Audit gratuito del tuo canale,"voce checklist, max ~40 caratteri",
TJ4,Studio,J - CTA,Punto checklist 2,✓ Stima budget e tempi,"max ~40 caratteri",
TJ5,Studio,J - CTA,Punto checklist 3,✓ Piano d'azione su misura,"max ~40 caratteri",
TJ6,Studio,J - CTA,Bottone-CTA,Prenota la call ↗,,
CA1,Contatti,A - Hero,Sottotitolo,— prima call gratuita,"eyebrow no-slash, max ~30 caratteri",
CA2,Contatti,A - Hero,Titolo,Parliamo di cibo.,"mega kinetic (lines)",
CA3,Contatti,A - Hero,Paragrafo,"Raccontaci il brand, il progetto, l'obiettivo. Il primo confronto è offerto dalla casa — nessun impegno, solo una conversazione onesta su dove sei e dove puoi arrivare.","maxWidth 44ch",
CB1,Contatti,B - Come funziona,Titolo,Tre passi. Nessun impegno.,"kinetic (words), maxWidth 16ch",
CB2,Contatti,B - Come funziona,Blocco step 1,"Ci scrivi — Due righe sul tuo brand e su cosa vorresti migliorare.","div step body step 1 — h3 + p descrizione",
CB3,Contatti,B - Come funziona,Blocco step 2,"Prima call · gratuita — Fissiamo 30 minuti per sentirci.","div step body step 2",
CB4,Contatti,B - Come funziona,Blocco step 3,Ti facciamo una proposta — Se c'è la sintonia giusta prepariamo una proposta su misura.,"div step body step 3",
CC1,Contatti,C - Info,Blocco email diretta,"// email diretta — ciao@fooody.it","blocco informativo email; modificare l'indirizzo email se cambia",
CC2,Contatti,C - Info,Indirizzo,"Milano — Lavoriamo su tutto il territorio italiano.","testo sede, max ~80 caratteri",
CC3,Contatti,C - Info,Callout gratuito,"0€ / La prima call è sempre gratuita. Nessun obbligo, nessun preventivo automatico.","blocco callout — testo fisso a meno di cambiamenti di politica",
